#,MachineName,Category,EntryType,Source,TimeGenerated,country,regionName,city,isp,reconstruction_error,anomaly_score,is_anomaly,severity
61078,Mehul,Logging/Recovery,Information,ESENT,2020-12-19 13:17:00,India,Gujarat,Surat,BSNL Internet,3.1269023,0.0691852,True,LOW
61101,Mehul,General,Information,ESENT,2020-12-19 13:17:00,India,Gujarat,Surat,BSNL Internet,2.8468747,0.06297725,True,LOW
61896,Mehul,Logging/Recovery,Information,ESENT,2020-12-11 12:48:00,India,Gujarat,Surat,BSNL Internet,2.9760463,0.06584086,True,LOW
61899,Mehul,General,Information,ESENT,2020-12-11 13:20:00,India,Gujarat,Surat,BSNL Internet,2.6577988,0.058785617,True,LOW
61941,Mehul,General,Information,ESENT,2020-12-11 13:20:00,India,Gujarat,Surat,BSNL Internet,4.007126,0.08869891,True,LOW
61963,Mehul,Logging/Recovery,Information,ESENT,2020-12-11 13:20:00,India,Gujarat,Surat,BSNL Internet,4.0441923,0.08952063,True,LOW
62016,Mehul,General,Information,ESENT,2020-12-11 12:48:00,India,Gujarat,Surat,BSNL Internet,2.760573,0.06106402,True,LOW
62074,Mehul,General,Information,ESENT,2020-12-11 12:48:00,India,Gujarat,Surat,BSNL Internet,2.0682797,0.045716543,True,LOW
62109,Mehul,0,Information,Software Protection Platform Service,2020-12-11 12:46:00,India,Gujarat,Surat,BSNL Internet,2.114203,0.046734616,True,LOW
63501,Mehul,General,Information,ESENT,2020-12-10 17:35:00,India,Gujarat,Surat,BSNL Internet,2.6028259,0.05756692,True,LOW
63512,Mehul,General,Information,ESENT,2020-12-10 17:34:00,India,Gujarat,Surat,BSNL Internet,2.6198533,0.057944402,True,LOW
63518,Mehul,General,Information,ESENT,2020-12-10 17:35:00,India,Gujarat,Surat,BSNL Internet,2.159678,0.047742754,True,LOW
63521,Mehul,General,Information,ESENT,2020-12-10 17:34:00,India,Gujarat,Surat,BSNL Internet,1.9993433,0.044188287,True,LOW
63541,Mehul,General,Information,ESENT,2020-12-10 17:34:00,India,Gujarat,Surat,BSNL Internet,2.3327234,0.051579006,True,LOW
63561,Mehul,General,Information,ESENT,2020-12-10 17:35:00,India,Gujarat,Surat,BSNL Internet,2.619892,0.057945255,True,LOW
63745,Mehul,Logging/Recovery,Information,ESENT,2020-12-10 11:14:00,India,Gujarat,Surat,BSNL Internet,2.8265684,0.062527075,True,LOW
63769,Mehul,Logging/Recovery,Information,ESENT,2020-12-10 11:30:00,India,Gujarat,Surat,BSNL Internet,4.1201873,0.09120537,True,LOW
63785,Mehul,Logging/Recovery,Information,ESENT,2020-12-10 11:30:00,India,Gujarat,Surat,BSNL Internet,4.039603,0.0894189,True,LOW
63827,Mehul,General,Information,ESENT,2020-12-10 17:09:00,India,Gujarat,Surat,BSNL Internet,2.628534,0.058136847,True,LOW
63890,Mehul,General,Information,ESENT,2020-12-10 11:30:00,India,Gujarat,Surat,BSNL Internet,2.42492,0.053622916,True,LOW
63938,Mehul,Logging/Recovery,Information,ESENT,2020-12-10 11:14:00,India,Gujarat,Surat,BSNL Internet,2.9691343,0.06568763,True,LOW
63957,Mehul,General,Information,ESENT,2020-12-10 11:14:00,India,Gujarat,Surat,BSNL Internet,2.7540746,0.06091996,True,LOW
63958,Mehul,General,Information,ESENT,2020-12-10 11:14:00,India,Gujarat,Surat,BSNL Internet,2.1030111,0.046486504,True,LOW
63959,Mehul,0,Information,Software Protection Platform Service,2020-12-10 11:14:00,India,Gujarat,Surat,BSNL Internet,2.1125128,0.046697147,True,LOW
63968,Mehul,General,Information,ESENT,2020-12-10 17:09:00,India,Gujarat,Surat,BSNL Internet,2.4084873,0.05325862,True,LOW
63970,Mehul,General,Information,ESENT,2020-12-10 11:30:00,India,Gujarat,Surat,BSNL Internet,3.7614622,0.08325279,True,LOW
64276,Mehul,0,Information,Software Protection Platform Service,2020-12-08 08:25:00,India,Gujarat,Surat,BSNL Internet,2.1165159,0.04678589,True,LOW
64295,Mehul,General,Information,ESENT,2020-12-08 08:43:00,India,Gujarat,Surat,BSNL Internet,2.5512228,0.05642293,True,LOW
64348,Mehul,General,Information,ESENT,2020-12-08 08:24:00,India,Gujarat,Surat,BSNL Internet,2.6288898,0.058144733,True,LOW
64374,Mehul,General,Information,ESENT,2020-12-08 08:24:00,India,Gujarat,Surat,BSNL Internet,2.0052648,0.04431956,True,LOW
64399,Mehul,General,Information,ESENT,2020-12-08 08:43:00,India,Gujarat,Surat,BSNL Internet,3.9474213,0.08737532,True,LOW
64401,Mehul,Logging/Recovery,Information,ESENT,2020-12-08 08:43:00,India,Gujarat,Surat,BSNL Internet,3.9086199,0.08651513,True,LOW
64574,Mehul,General,Information,ESENT,2020-12-06 16:38:00,India,Gujarat,Surat,BSNL Internet,2.6411214,0.058415893,True,LOW
64581,Mehul,General,Information,ESENT,2020-12-06 16:38:00,India,Gujarat,Surat,BSNL Internet,2.515424,0.055629306,True,LOW
64598,Mehul,General,Information,ESENT,2020-12-06 16:37:00,India,Gujarat,Surat,BSNL Internet,2.3753157,0.052523237,True,LOW
64618,Mehul,General,Information,ESENT,2020-12-06 16:37:00,India,Gujarat,Surat,BSNL Internet,2.0129166,0.044489194,True,LOW
64623,Mehul,General,Information,ESENT,2020-12-06 16:38:00,India,Gujarat,Surat,BSNL Internet,2.0129166,0.044489194,True,LOW
64625,Mehul,General,Information,ESENT,2020-12-06 16:37:00,India,Gujarat,Surat,BSNL Internet,2.6413891,0.05842183,True,LOW
65303,Mehul,0,Information,Software Protection Platform Service,2020-12-06 15:41:00,India,Gujarat,Surat,BSNL Internet,2.1168177,0.04679258,True,LOW
66568,Mehul,Logging/Recovery,Information,ESENT,2020-12-05 11:54:00,India,Gujarat,Surat,BSNL Internet,4.048183,0.0896091,True,LOW
66593,Mehul,General,Information,ESENT,2020-12-05 11:54:00,India,Gujarat,Surat,BSNL Internet,3.9488475,0.08740694,True,LOW
66596,Mehul,General,Information,ESENT,2020-12-05 11:54:00,India,Gujarat,Surat,BSNL Internet,2.4779925,0.054799482,True,LOW
66632,Mehul,0,Information,Software Protection Platform Service,2020-12-05 11:39:00,India,Gujarat,Surat,BSNL Internet,2.1191244,0.04684372,True,LOW
66664,Mehul,General,Information,ESENT,2020-12-05 11:39:00,India,Gujarat,Surat,BSNL Internet,2.007725,0.0443741,True,LOW
66689,Mehul,General,Information,ESENT,2020-12-05 11:39:00,India,Gujarat,Surat,BSNL Internet,2.6274097,0.05811192,True,LOW
66698,Mehul,General,Information,ESENT,2020-12-04 11:01:00,India,Gujarat,Surat,BSNL Internet,2.6262228,0.05808561,True,LOW
66708,Mehul,0,Information,Software Protection Platform Service,2020-12-04 11:09:00,India,Gujarat,Surat,BSNL Internet,2.1136637,0.046722658,True,LOW
66713,Mehul,0,Information,Software Protection Platform Service,2020-12-04 10:59:00,India,Gujarat,Surat,BSNL Internet,2.1120353,0.04668656,True,LOW
66788,Mehul,General,Information,ESENT,2020-12-04 11:01:00,India,Gujarat,Surat,BSNL Internet,2.0011823,0.044229057,True,LOW
68335,Mehul,0,Information,Software Protection Platform Service,2020-12-04 17:23:00,India,Gujarat,Surat,BSNL Internet,2.1107013,0.04665699,True,LOW
68337,Mehul,Logging/Recovery,Information,ESENT,2020-12-04 17:25:00,India,Gujarat,Surat,BSNL Internet,2.8249497,0.062491193,True,LOW
